Pozo,Acuifero,Elev.Brocal,Latitud,Longitud,Year,nivel_estatico,precip_mm,temp_C,K_horiz_m_d,K_vert_m_d,S_especifico,rend_especif,espesor_capa_m,T_m2_s
SAPA No.4 R,LA PAZ,76,23.994167,-110.332778,2010,79.46,0.31,23.15,1.4,0.5,0.0009,0.1,130,0.0019
Sapa No.21,LA PAZ,82,24.021667,-110.3175,2010,104.71,0.31,23.15,30.8,10,0.004,0.1,17.2,0.0061
SAPA La Paz (San Pedro),LA PAZ,190,23.929722,-110.263889,2010,53.75,0.31,24.23,1.4,0.5,0.0009,0.1,130,0.0019
S/N_3,LA PAZ,51,24.024167,-110.389444,2010,54.17,0.31,23.15,1.4,0.5,0.0009,0.1,130,0.0019
Patricio Suarez A.,LA PAZ,215,23.93494,-110.24303,2010,17.26,0.31,24.23,1.4,0.5,0.0009,0.1,130,0.0019
Gilberto Chávez A.,LA PAZ,194,23.934222,-110.261194,2010,21.26,0.31,24.23,1.4,0.5,0.0009,0.1,130,0.0019
EL PALMAR,LA PAZ,194,23.932528,-110.259556,2010,22.51,0.31,24.23,1.4,0.5,0.0009,0.1,130,0.0019
BUEN SUR,LA PAZ,198,23.929278,-110.255333,2010,19.05,0.31,24.23,1.4,0.5,0.0009,0.1,130,0.0019
BOLA DE FUEGO,LA PAZ,29,24.056667,-110.392222,2010,31.96,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
419,LA PAZ,13,24.112417,-110.328147,2010,13.98,0.31,23.15,19,6,0.004,0.1,81.37,0.0179
416,LA PAZ,45,24.1225,-110.299167,2010,41.4,0.31,24.23,5.8,3,0.005,0.1,17.38,0.0012
409,LA PAZ,66,24.018611,-110.400278,2010,70.52,0.31,23.15,1.4,0.5,0.0009,0.1,130,0.0019
408,LA PAZ,11,24.077778,-110.398889,2010,13.74,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
407,LA PAZ,18,24.075,-110.398611,2010,17.34,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
406,LA PAZ,14,24.089444,-110.408889,2010,14.95,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
405,LA PAZ,38,24.063056,-110.411111,2010,41,0.31,23.15,0.25,0.01,0.001,0.1,146.54,0.0004
403,LA PAZ,33,24.038333,-110.37,2010,38.13,0.31,23.15,29,10,0.001,0.1,30.45,0.0102
391,LA PAZ,30,24.053056,-110.383611,2010,33.21,0.31,23.15,85,34,0.005,0.1,29.85,0.0294
385,LA PAZ,17,24.085556,-110.408056,2010,17.26,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
384,LA PAZ,34,24.0825,-110.419167,2010,36.29,0.31,23.15,0.25,0.01,0.001,0.1,146.54,0.0004
381-R,LA PAZ,39,24.069444,-110.413889,2010,40.45,0.31,23.15,0.25,0.01,0.001,0.1,146.54,0.0004
380-R,LA PAZ,38,24.040833,-110.383889,2010,41.47,0.31,23.15,29,10,0.001,0.1,30.45,0.0102
379,LA PAZ,13,24.099167,-110.416944,2010,13.92,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
378-R,LA PAZ,25,24.053611,-110.372778,2010,29.42,0.31,23.15,85,34,0.005,0.1,29.85,0.0294
368,LA PAZ,11,24.102222,-110.418333,2010,12.25,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
326,LA PAZ,20,24.082222,-110.407778,2010,21.09,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
253,LA PAZ,5,24.092222,-110.398611,2010,6.33,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
252,LA PAZ,10,24.089167,-110.380556,2010,10.54,0.31,23.15,45,20,0.003,0.1,27.07,0.0141
248-R,LA PAZ,30,24.044722,-110.3575,2010,38.35,0.31,23.15,29,10,0.001,0.1,30.45,0.0102
243,LA PAZ,13,24.087222,-110.370556,2010,13.82,0.31,23.15,64,5,0.004,0.1,16.25,0.012
242-R,LA PAZ,13,24.085278,-110.373889,2010,13.82,0.31,23.15,64,5,0.004,0.1,16.25,0.012
228-A,LA PAZ,7,24.090833,-110.400278,2010,7.49,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
217-R,LA PAZ,19,24.070278,-110.3975,2010,21.06,0.31,23.15,90,20,0.005,0.1,13.58,0.0141
211,LA PAZ,22,24.068333,-110.370278,2010,22.84,0.31,23.15,35,10,0.005,0.1,32.67,0.0132
209,LA PAZ,38,24.027222,-110.368611,2010,44.64,0.31,23.15,29,10,0.001,0.1,30.45,0.0102
208,LA PAZ,32,24.036389,-110.364167,2010,39.15,0.31,23.15,29,10,0.001,0.1,30.45,0.0102
206,LA PAZ,33,24.034444,-110.356667,2010,40.49,0.31,23.15,29,10,0.001,0.1,30.45,0.0102
205,LA PAZ,25,24.053611,-110.359167,2010,33.4,0.31,23.15,19.5,5,0.0024,0.1,40.4,0.0091
197-A,LA PAZ,9,24.098611,-110.352778,2010,10.56,0.31,23.15,35,15,0.004,0.1,22.19,0.009
191-R,LA PAZ,10,24.096389,-110.3525,2010,11.61,0.31,23.15,35,15,0.004,0.1,22.19,0.009
182,LA PAZ,12,24.093611,-110.350556,2010,13.83,0.31,23.15,35,15,0.004,0.1,22.19,0.009
181-R,LA PAZ,17,24.073611,-110.348889,2010,21.35,0.31,23.15,35,15,0.004,0.1,22.19,0.009
172,LA PAZ,14,24.078611,-110.354444,2010,17.5,0.31,23.15,35,15,0.004,0.1,22.19,0.009
171-A,LA PAZ,13,24.088333,-110.350833,2010,15.9,0.31,23.15,35,15,0.004,0.1,22.19,0.009
167-R,LA PAZ,42,24.0489,-110.334369,2010,48.45,0.31,23.15,30.8,10,0.004,0.1,17.2,0.0061
166,LA PAZ,50,24.0477,-110.32655,2010,60.36,0.31,23.15,42,5,0.004,0.1,91.29,0.0444
164,LA PAZ,51,24.061136,-110.320028,2010,60.53,0.31,23.15,42,5,0.004,0.1,91.29,0.0444
153,LA PAZ,21.09,24.058889,-110.3475,2010,29.04,0.31,23.15,30.8,10,0.004,0.1,17.2,0.0061
152,LA PAZ,25,24.057222,-110.343333,2010,31.42,0.31,23.15,30.8,10,0.004,0.1,17.2,0.0061
151,LA PAZ,38,24.055,-110.333056,2010,44.2,0.31,23.15,30.8,10,0.004,0.1,17.2,0.0061
146,LA PAZ,16,24.081944,-110.343889,2010,20.08,0.31,23.15,35,15,0.004,0.1,22.19,0.009
143,LA PAZ,36.27,24.030556,-110.356111,2010,43.2,0.31,23.15,29,10,0.001,0.1,30.45,0.0102
141,LA PAZ,27,24.085097,-110.332044,2010,28.32,0.31,23.15,19,6,0.004,0.1,81.37,0.0179
140,LA PAZ,28,24.088483,-110.331106,2010,28.5,0.31,23.15,19,6,0.004,0.1,81.37,0.0179
138,LA PAZ,36,24.089228,-110.324194,2010,31.88,0.31,23.15,19,6,0.004,0.1,81.37,0.0179
137,LA PAZ,28,24.09143,-110.31356,2010,34.67,0.31,23.15,0.36,0.1,0.0009,0.1,182.93,0.0008
135-R,LA PAZ,18,24.108056,-110.325556,2010,16.52,0.31,23.15,19,6,0.004,0.1,81.37,0.0179
134,LA PAZ,20,24.104028,-110.323978,2010,20.35,0.31,23.15,19,6,0.004,0.1,81.37,0.0179
129-B,LA PAZ,26,24.098483,-110.316931,2010,29.35,0.31,23.15,19,6,0.004,0.1,81.37,0.0179
128,LA PAZ,36,24.089719,-110.312672,2010,40.55,0.31,23.15,0.36,0.1,0.0009,0.1,182.93,0.0008
122-R,LA PAZ,15,24.085389,-110.366992,2010,15.87,0.31,23.15,35,15,0.004,0.1,22.19,0.009
S/N_4,LA PAZ,42,24.025833,-110.3825,2011,47.17,0.25,23.87,29,10,0.001,0.1,30.45,0.0102
S/N_3,LA PAZ,51,24.024167,-110.389444,2011,54.58,0.25,23.87,1.4,0.5,0.0009,0.1,130,0.0019
S/N_2,LA PAZ,38,24.028611,-110.373333,2011,42.92,0.25,23.87,29,10,0.001,0.1,30.45,0.0102
S/N_1,LA PAZ,8,24.091944,-110.402222,2011,8.7,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
EL PALMAR,LA PAZ,194,23.932528,-110.259556,2011,23.67,0.28,24.62,1.4,0.5,0.0009,0.1,130,0.0019
BUEN SUR,LA PAZ,198,23.929278,-110.255333,2011,20.04,0.28,24.62,1.4,0.5,0.0009,0.1,130,0.0019
BOLA DE FUEGO,LA PAZ,29,24.056667,-110.392222,2011,32.2,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
419,LA PAZ,13,24.112417,-110.328147,2011,13.94,0.25,23.87,19,6,0.004,0.1,81.37,0.0179
416,LA PAZ,45,24.1225,-110.299167,2011,42.6,0.28,24.62,5.8,3,0.005,0.1,17.38,0.0012
415,LA PAZ,40,24.108333,-110.291667,2011,41.97,0.28,24.62,5.8,3,0.005,0.1,17.38,0.0012
409,LA PAZ,66,24.018611,-110.400278,2011,71.25,0.25,23.87,1.4,0.5,0.0009,0.1,130,0.0019
408,LA PAZ,11,24.077778,-110.398889,2011,14.04,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
407,LA PAZ,18,24.075,-110.398611,2011,17.92,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
406,LA PAZ,14,24.089444,-110.408889,2011,15.42,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
405,LA PAZ,38,24.063056,-110.411111,2011,40.69,0.25,23.87,0.25,0.01,0.001,0.1,146.54,0.0004
403,LA PAZ,33,24.038333,-110.37,2011,38.7,0.25,23.87,29,10,0.001,0.1,30.45,0.0102
385,LA PAZ,17,24.085556,-110.408056,2011,17.58,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
384,LA PAZ,34,24.0825,-110.419167,2011,36.6,0.25,23.87,0.25,0.01,0.001,0.1,146.54,0.0004
381-R,LA PAZ,39,24.069444,-110.413889,2011,40.52,0.25,23.87,0.25,0.01,0.001,0.1,146.54,0.0004
380-R,LA PAZ,38,24.040833,-110.383889,2011,42.45,0.25,23.87,29,10,0.001,0.1,30.45,0.0102
379,LA PAZ,13,24.099167,-110.416944,2011,14.18,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
378-R,LA PAZ,25,24.053611,-110.372778,2011,30.58,0.25,23.87,85,34,0.005,0.1,29.85,0.0294
368,LA PAZ,11,24.102222,-110.418333,2011,12.53,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
326,LA PAZ,20,24.082222,-110.407778,2011,21.57,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
253,LA PAZ,5,24.092222,-110.398611,2011,7.6,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
252,LA PAZ,10,24.089167,-110.380556,2011,10.27,0.25,23.87,45,20,0.003,0.1,27.07,0.0141
243,LA PAZ,13,24.087222,-110.370556,2011,14.2,0.25,23.87,64,5,0.004,0.1,16.25,0.012
242-R,LA PAZ,13,24.085278,-110.373889,2011,14.49,0.25,23.87,64,5,0.004,0.1,16.25,0.012
228-A,LA PAZ,7,24.090833,-110.400278,2011,8.02,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
221,LA PAZ,15,24.076028,-110.377472,2011,17.38,0.25,23.87,45,20,0.003,0.1,27.07,0.0141
217-R,LA PAZ,19,24.070278,-110.3975,2011,21.88,0.25,23.87,90,20,0.005,0.1,13.58,0.0141
216,LA PAZ,32,24.0575,-110.398611,2011,35,0.25,23.87,0.25,0.01,0.001,0.1,146.54,0.0004
209,LA PAZ,38,24.027222,-110.368611,2011,44.4,0.25,23.87,29,10,0.001,0.1,30.45,0.0102
208,LA PAZ,32,24.036389,-110.364167,2011,38.8,0.25,23.87,29,10,0.001,0.1,30.45,0.0102
206,LA PAZ,33,24.034444,-110.356667,2011,41.16,0.25,23.87,29,10,0.001,0.1,30.45,0.0102
205,LA PAZ,25,24.053611,-110.359167,2011,31.02,0.25,23.87,19.5,5,0.0024,0.1,40.4,0.0091
197-A,LA PAZ,9,24.098611,-110.352778,2011,11.32,0.25,23.87,35,15,0.004,0.1,22.19,0.009
191-R,LA PAZ,10,24.096389,-110.3525,2011,11.5,0.25,23.87,35,15,0.004,0.1,22.19,0.009
182,LA PAZ,12,24.093611,-110.350556,2011,13.84,0.25,23.87,35,15,0.004,0.1,22.19,0.009
181-R,LA PAZ,17,24.073611,-110.348889,2011,21.41,0.25,23.87,35,15,0.004,0.1,22.19,0.009
172,LA PAZ,14,24.078611,-110.354444,2011,17.7,0.25,23.87,35,15,0.004,0.1,22.19,0.009
171-A,LA PAZ,13,24.088333,-110.350833,2011,15.96,0.25,23.87,35,15,0.004,0.1,22.19,0.009
167-R,LA PAZ,42,24.0489,-110.334369,2011,49.1,0.25,23.87,30.8,10,0.004,0.1,17.2,0.0061
166,LA PAZ,50,24.0477,-110.32655,2011,62.84,0.25,23.87,42,5,0.004,0.1,91.29,0.0444
164,LA PAZ,51,24.061136,-110.320028,2011,62.62,0.25,23.87,42,5,0.004,0.1,91.29,0.0444
153,LA PAZ,21.09,24.058889,-110.3475,2011,29.43,0.25,23.87,30.8,10,0.004,0.1,17.2,0.0061
151,LA PAZ,38,24.055,-110.333056,2011,46.42,0.25,23.87,30.8,10,0.004,0.1,17.2,0.0061
146,LA PAZ,16,24.081944,-110.343889,2011,20.8,0.25,23.87,35,15,0.004,0.1,22.19,0.009
143,LA PAZ,36.27,24.030556,-110.356111,2011,43.16,0.25,23.87,29,10,0.001,0.1,30.45,0.0102
141,LA PAZ,27,24.085097,-110.332044,2011,30.6,0.25,23.87,19,6,0.004,0.1,81.37,0.0179
140,LA PAZ,28,24.088483,-110.331106,2011,28.91,0.25,23.87,19,6,0.004,0.1,81.37,0.0179
138,LA PAZ,36,24.089228,-110.324194,2011,35.09,0.25,23.87,19,6,0.004,0.1,81.37,0.0179
135-R,LA PAZ,18,24.108056,-110.325556,2011,16.85,0.25,23.87,19,6,0.004,0.1,81.37,0.0179
134,LA PAZ,20,24.104028,-110.323978,2011,20.7,0.25,23.87,19,6,0.004,0.1,81.37,0.0179
129-B,LA PAZ,26,24.098483,-110.316931,2011,29.82,0.25,23.87,19,6,0.004,0.1,81.37,0.0179
128,LA PAZ,36,24.089719,-110.312672,2011,40.85,0.25,23.87,0.36,0.1,0.0009,0.1,182.93,0.0008
122-R,LA PAZ,15,24.085389,-110.366992,2011,15.78,0.25,23.87,35,15,0.004,0.1,22.19,0.009
S/N_4,LA PAZ,42,24.025833,-110.3825,2012,47.43,0.95,23.82,29,10,0.001,0.1,30.45,0.0102
S/N_3,LA PAZ,51,24.024167,-110.389444,2012,54.68,0.95,23.82,1.4,0.5,0.0009,0.1,130,0.0019
S/N_2,LA PAZ,38,24.028611,-110.373333,2012,43.45,0.95,23.82,29,10,0.001,0.1,30.45,0.0102
S/N_1,LA PAZ,8,24.091944,-110.402222,2012,8.1,0.95,23.82,90,20,0.005,0.1,13.58,0.0141
EL PALMAR,LA PAZ,194,23.932528,-110.259556,2012,24.57,0.88,24.64,1.4,0.5,0.0009,0.1,130,0.0019
BUEN SUR,LA PAZ,198,23.929278,-110.255333,2012,20.18,0.88,24.64,1.4,0.5,0.0009,0.1,130,0.0019
BOLA DE FUEGO,LA PAZ,29,24.056667,-110.392222,2012,32.22,0.95,23.82,90,20,0.005,0.1,13.58,0.0141
419,LA PAZ,13,24.112417,-110.328147,2012,12.2,0.95,23.82,19,6,0.004,0.1,81.37,0.0179
416,LA PAZ,45,24.1225,-110.299167,2012,43.45,0.88,24.64,5.8,3,0.005,0.1,17.38,0.0012
409,LA PAZ,66,24.018611,-110.400278,2012,71.71,0.95,23.82,1.4,0.5,0.0009,0.1,130,0.0019
408,LA PAZ,11,24.077778,-110.398889,2012,14.07,0.95,23.82,90,20,0.005,0.1,13.58,0.0141
406,LA PAZ,14,24.089444,-110.408889,2012,15.04,0.95,23.82,90,20,0.005,0.1,13.58,0.0141
405,LA PAZ,38,24.063056,-110.411111,2012,40.9,0.95,23.82,0.25,0.01,0.001,0.1,146.54,0.0004
403,LA PAZ,33,24.038333,-110.37,2012,38.3,0.95,23.82,29,10,0.001,0.1,30.45,0.0102
391,LA PAZ,30,24.053056,-110.383611,2012,31.4,0.95,23.82,85,34,0.005,0.1,29.85,0.0294
385,LA PAZ,17,24.085556,-110.408056,2012,17.15,0.95,23.82,90,20,0.005,0.1,13.58,0.0141
384,LA PAZ,34,24.0825,-110.419167,2012,36.45,0.95,23.82,0.25,0.01,0.001,0.1,146.54,0.0004
