Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
SL12,Baja California Sur,SAN LUCAS,8.0,27.220408,-112.219789,2013,5.29,0.44,21.96
SL10,Baja California Sur,SAN LUCAS,3.92,27.222972,-112.219081,2013,3.29,0.44,21.96
SL09,Baja California Sur,SAN LUCAS,5.36,27.222019,-112.219158,2013,5.3,0.44,21.96
SL07,Baja California Sur,SAN LUCAS,6.12,27.228056,-112.219667,2013,5.95,0.44,21.96
SL04,Baja California Sur,SAN LUCAS,5.21,27.219856,-112.223561,2013,4.66,0.44,21.96
SL01,Baja California Sur,SAN LUCAS,6.54,27.220806,-112.224744,2013,6.07,0.44,21.96
