ID,Latitude,Longitude,Year,EVI_avg_year,NDVI_avg_year
122-R,24.085389,-110.366992,2000,0.11974,0.15742
122-R,24.085389,-110.366992,2001,0.12541739130434781,0.16676521739130434
122-R,24.085389,-110.366992,2002,0.14101739130434784,0.18877391304347826
122-R,24.085389,-110.366992,2003,0.1386521739130435,0.18972173913043477
122-R,24.085389,-110.366992,2004,0.13776521739130435,0.18727826086956523
122-R,24.085389,-110.366992,2005,0.12383478260869564,0.1677304347826087
122-R,24.085389,-110.366992,2006,0.1363304347826087,0.1819391304347826
122-R,24.085389,-110.366992,2007,0.1298304347826087,0.17700869565217392
122-R,24.085389,-110.366992,2008,0.1294391304347826,0.1693913043478261
122-R,24.085389,-110.366992,2009,0.13229130434782607,0.17496956521739132
122-R,24.085389,-110.366992,2010,0.11912608695652174,0.16100869565217393
122-R,24.085389,-110.366992,2011,0.11332608695652174,0.15009565217391305
122-R,24.085389,-110.366992,2012,0.13248695652173914,0.17299565217391305
122-R,24.085389,-110.366992,2013,0.12478695652173913,0.1754391304347826
122-R,24.085389,-110.366992,2014,0.14015652173913046,0.18964782608695654
122-R,24.085389,-110.366992,2015,0.12683478260869566,0.18083478260869565
122-R,24.085389,-110.366992,2016,0.1242608695652174,0.17404782608695651
122-R,24.085389,-110.366992,2017,0.11587391304347826,0.16421304347826088
122-R,24.085389,-110.366992,2018,0.1206,0.1639
122-R,24.085389,-110.366992,2019,0.15764347826086955,0.22114782608695654
122-R,24.085389,-110.366992,2020,0.1376826086956522,0.20160869565217393
122-R,24.085389,-110.366992,2021,0.11203043478260868,0.15809565217391305
122-R,24.085389,-110.366992,2022,0.11671304347826088,0.15950434782608697
122-R,24.085389,-110.366992,2023,0.13458695652173913,0.18300869565217392
122-R,24.085389,-110.366992,2024,0.13527826086956524,0.18434782608695652
122-R,24.085389,-110.366992,2025,0.10281666666666667,0.13901666666666668
128,24.089719,-110.312672,2000,0.13691,0.187985
128,24.089719,-110.312672,2001,0.14680434782608695,0.20061739130434783
128,24.089719,-110.312672,2002,0.16194782608695651,0.22601739130434784
128,24.089719,-110.312672,2003,0.17787391304347827,0.24081304347826088
128,24.089719,-110.312672,2004,0.1567304347826087,0.21749565217391303
128,24.089719,-110.312672,2005,0.14401739130434782,0.20249130434782608
128,24.089719,-110.312672,2006,0.15336521739130435,0.2091478260869565
128,24.089719,-110.312672,2007,0.1401304347826087,0.19184347826086956
128,24.089719,-110.312672,2008,0.1479304347826087,0.1980086956521739
128,24.089719,-110.312672,2009,0.15036521739130435,0.20154347826086955
128,24.089719,-110.312672,2010,0.13236521739130436,0.18045652173913043
128,24.089719,-110.312672,2011,0.12386956521739131,0.1703
128,24.089719,-110.312672,2012,0.13609565217391303,0.1862
128,24.089719,-110.312672,2013,0.12930434782608696,0.1808782608695652
128,24.089719,-110.312672,2014,0.14453478260869565,0.20087391304347826
128,24.089719,-110.312672,2015,0.15711304347826086,0.2073391304347826
128,24.089719,-110.312672,2016,0.14408260869565218,0.19344347826086958
128,24.089719,-110.312672,2017,0.1302782608695652,0.18568695652173914
128,24.089719,-110.312672,2018,0.14477826086956522,0.19677391304347827
128,24.089719,-110.312672,2019,0.1575608695652174,0.22068695652173914
128,24.089719,-110.312672,2020,0.15056521739130435,0.2054
128,24.089719,-110.312672,2021,0.14802608695652172,0.20572608695652175
128,24.089719,-110.312672,2022,0.15972608695652174,0.20798260869565216
128,24.089719,-110.312672,2023,0.16265217391304349,0.21571304347826087
128,24.089719,-110.312672,2024,0.1496608695652174,0.2120086956521739
128,24.089719,-110.312672,2025,0.1327,0.17951666666666666
129-B,24.098483,-110.316931,2000,0.16727,0.22483499999999998
129-B,24.098483,-110.316931,2001,0.1818304347826087,0.2427217391304348
129-B,24.098483,-110.316931,2002,0.16502173913043477,0.23267391304347826
129-B,24.098483,-110.316931,2003,0.18050000000000002,0.24887826086956522
129-B,24.098483,-110.316931,2004,0.1736913043478261,0.24380000000000002
129-B,24.098483,-110.316931,2005,0.1646217391304348,0.23056521739130434
129-B,24.098483,-110.316931,2006,0.18433043478260872,0.24713478260869565
129-B,24.098483,-110.316931,2007,0.17645217391304346,0.24630000000000002
129-B,24.098483,-110.316931,2008,0.18587391304347828,0.24589999999999998
129-B,24.098483,-110.316931,2009,0.18296521739130434,0.24738695652173912
129-B,24.098483,-110.316931,2010,0.16301304347826087,0.21818260869565217
129-B,24.098483,-110.316931,2011,0.16092608695652172,0.21044347826086957
129-B,24.098483,-110.316931,2012,0.17247826086956522,0.2335913043478261
129-B,24.098483,-110.316931,2013,0.15378695652173913,0.21473043478260867
129-B,24.098483,-110.316931,2014,0.1688086956521739,0.23160434782608696
129-B,24.098483,-110.316931,2015,0.16989565217391303,0.23105217391304347
129-B,24.098483,-110.316931,2016,0.1661,0.2305304347826087
129-B,24.098483,-110.316931,2017,0.16016521739130435,0.22384782608695653
129-B,24.098483,-110.316931,2018,0.18270434782608697,0.24911304347826085
129-B,24.098483,-110.316931,2019,0.18013478260869567,0.25998695652173914
129-B,24.098483,-110.316931,2020,0.16571304347826085,0.23271739130434782
129-B,24.098483,-110.316931,2021,0.18114782608695654,0.24418695652173913
129-B,24.098483,-110.316931,2022,0.1823869565217391,0.24644782608695653
129-B,24.098483,-110.316931,2023,0.17723913043478262,0.24328695652173912
129-B,24.098483,-110.316931,2024,0.1706086956521739,0.24046086956521737
129-B,24.098483,-110.316931,2025,0.162825,0.22511666666666666
134,24.104028,-110.323978,2000,0.14349,0.1973
134,24.104028,-110.323978,2001,0.1592391304347826,0.21914782608695652
