ID,Latitude,Longitude,Year,ET_mm_total_year,EVI_avg_year,NDVI_avg_year
122-R,24.085389,-110.366992,2021,167.5,0.11203043478260868,0.15809565217391305
122-R,24.085389,-110.366992,2022,155.3,0.11671304347826088,0.15950434782608697
122-R,24.085389,-110.366992,2023,167.9,0.13458695652173913,0.18300869565217392
122-R,24.085389,-110.366992,2024,127.1,0.13527826086956524,0.18434782608695652
122-R,24.085389,-110.366992,2025,70.2,0.10281666666666667,0.13901666666666668
128,24.089719,-110.312672,2021,134.3,0.14802608695652172,0.20572608695652175
128,24.089719,-110.312672,2022,134.6,0.15972608695652174,0.20798260869565216
128,24.089719,-110.312672,2023,138.3,0.16265217391304349,0.21571304347826087
128,24.089719,-110.312672,2024,103.9,0.1496608695652174,0.2120086956521739
128,24.089719,-110.312672,2025,65.0,0.1327,0.17951666666666666
129-B,24.098483,-110.316931,2021,149.8,0.18114782608695654,0.24418695652173913
129-B,24.098483,-110.316931,2022,150.0,0.1823869565217391,0.24644782608695653
129-B,24.098483,-110.316931,2023,158.7,0.17723913043478262,0.24328695652173912
129-B,24.098483,-110.316931,2024,116.0,0.1706086956521739,0.24046086956521737
129-B,24.098483,-110.316931,2025,69.6,0.162825,0.22511666666666666
134,24.104028,-110.323978,2021,138.6,0.1541608695652174,0.20274782608695652
134,24.104028,-110.323978,2022,144.7,0.16398260869565218,0.20756956521739128
134,24.104028,-110.323978,2023,142.5,0.16814782608695653,0.22321304347826085
134,24.104028,-110.323978,2024,107.1,0.16300434782608694,0.21730869565217392
134,24.104028,-110.323978,2025,67.2,0.14459166666666667,0.19540833333333332
135-R,24.108056,-110.325556,2021,153.9,0.2246608695652174,0.28464782608695655
135-R,24.108056,-110.325556,2022,149.1,0.23485652173913044,0.28729565217391306
135-R,24.108056,-110.325556,2023,151.9,0.2022913043478261,0.26054347826086954
135-R,24.108056,-110.325556,2024,112.7,0.15112608695652174,0.2117304347826087
135-R,24.108056,-110.325556,2025,67.4,0.13379166666666667,0.17685833333333334
137,24.09143,-110.31356,2021,134.3,0.14802608695652172,0.20572608695652175
137,24.09143,-110.31356,2022,134.6,0.15972608695652174,0.20798260869565216
137,24.09143,-110.31356,2023,138.3,0.16265217391304349,0.21571304347826087
137,24.09143,-110.31356,2024,103.9,0.1496608695652174,0.2120086956521739
137,24.09143,-110.31356,2025,65.0,0.1327,0.17951666666666666
138,24.089228,-110.324194,2021,133.6,0.113,0.15957826086956522
138,24.089228,-110.324194,2022,132.7,0.12034347826086957,0.15679565217391306
138,24.089228,-110.324194,2023,134.3,0.12827826086956523,0.16525217391304348
138,24.089228,-110.324194,2024,102.4,0.11870869565217392,0.16357826086956523
138,24.089228,-110.324194,2025,64.5,0.09999999999999999,0.14664166666666667
140,24.088483,-110.331106,2021,134.3,0.12005652173913042,0.16941304347826086
140,24.088483,-110.331106,2022,133.5,0.12539130434782608,0.17179565217391304
140,24.088483,-110.331106,2023,136.6,0.12808260869565216,0.17355652173913044
140,24.088483,-110.331106,2024,108.9,0.12277826086956523,0.1716304347826087
140,24.088483,-110.331106,2025,68.1,0.10190833333333334,0.14598333333333333
141,24.085097,-110.332044,2021,148.6,0.14387391304347827,0.19967826086956522
141,24.085097,-110.332044,2022,137.4,0.14052608695652175,0.1868391304347826
141,24.085097,-110.332044,2023,147.0,0.12896086956521738,0.1819695652173913
141,24.085097,-110.332044,2024,108.4,0.11535217391304349,0.16739565217391303
141,24.085097,-110.332044,2025,66.8,0.11726666666666667,0.159075
142,24.084519,-110.325344,2021,140.4,0.13578260869565217,0.19095217391304348
142,24.084519,-110.325344,2022,135.9,0.13745217391304348,0.18547826086956523
142,24.084519,-110.325344,2023,136.7,0.1311304347826087,0.18071739130434783
142,24.084519,-110.325344,2024,104.5,0.11518260869565218,0.16735652173913043
