Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_estatico,precip_mm,temp_C
CNA_SI_26,Baja California Sur,SAN IGNACIO,39.93,27.313489,-113.338842,2011,17.36,0.09,21.65
CNA_SI_24,Baja California Sur,SAN IGNACIO,43.42,27.331067,-113.334714,2011,27.5,0.09,21.65
CNA_SI_22,Baja California Sur,SAN IGNACIO,72.6,27.356592,-113.228275,2011,39.5,0.09,21.65
CNA_SI_09,Baja California Sur,SAN IGNACIO,179.87,27.326297,-112.762769,2011,48.88,0.14,22.51
CNA_SI_07,Baja California Sur,SAN IGNACIO,194.27,27.357575,-112.768544,2011,50.44,0.14,22.51
CNA_SI_06,Baja California Sur,SAN IGNACIO,198.88,27.354031,-112.763031,2011,64.67,0.14,22.51
CNA_SI_05,Baja California Sur,SAN IGNACIO,178.35,27.346264,-112.768661,2011,53.12,0.14,22.51
CNA-SI-20,Baja California Sur,SAN IGNACIO,87.69,27.382339,-113.210964,2011,52.45,0.09,21.65
