ID,Latitude,Longitude,Year,ET_mm_total_year
211,24.068333,-110.370278,2024,157.8
211,24.068333,-110.370278,2025,76.9
216,24.0575,-110.398611,2021,186.3
216,24.0575,-110.398611,2022,162.6
216,24.0575,-110.398611,2023,193.6
216,24.0575,-110.398611,2024,147.5
216,24.0575,-110.398611,2025,77.3
217-R,24.070278,-110.3975,2021,195.9
217-R,24.070278,-110.3975,2022,177.7
217-R,24.070278,-110.3975,2023,202.0
217-R,24.070278,-110.3975,2024,170.9
217-R,24.070278,-110.3975,2025,86.0
221,24.076028,-110.377472,2021,253.3
221,24.076028,-110.377472,2022,252.9
221,24.076028,-110.377472,2023,280.7
221,24.076028,-110.377472,2024,255.9
221,24.076028,-110.377472,2025,121.6
228-A,24.090833,-110.400278,2021,231.1
228-A,24.090833,-110.400278,2022,225.9
228-A,24.090833,-110.400278,2023,231.1
228-A,24.090833,-110.400278,2024,202.5
228-A,24.090833,-110.400278,2025,108.9
242-R,24.085278,-110.373889,2021,267.1
242-R,24.085278,-110.373889,2022,251.6
242-R,24.085278,-110.373889,2023,248.0
242-R,24.085278,-110.373889,2024,228.2
242-R,24.085278,-110.373889,2025,115.4
243,24.087222,-110.370556,2021,212.7
243,24.087222,-110.370556,2022,202.0
243,24.087222,-110.370556,2023,203.9
243,24.087222,-110.370556,2024,163.0
243,24.087222,-110.370556,2025,82.2
248-R,24.044722,-110.3575,2021,222.2
248-R,24.044722,-110.3575,2022,222.1
248-R,24.044722,-110.3575,2023,223.1
248-R,24.044722,-110.3575,2024,172.3
248-R,24.044722,-110.3575,2025,100.5
252,24.089167,-110.380556,2021,253.8
252,24.089167,-110.380556,2022,244.6
252,24.089167,-110.380556,2023,208.8
252,24.089167,-110.380556,2024,194.9
252,24.089167,-110.380556,2025,103.3
253,24.092222,-110.398611,2021,205.6
253,24.092222,-110.398611,2022,194.4
253,24.092222,-110.398611,2023,191.8
253,24.092222,-110.398611,2024,170.0
253,24.092222,-110.398611,2025,99.0
326,24.082222,-110.407778,2021,175.1
326,24.082222,-110.407778,2022,159.9
326,24.082222,-110.407778,2023,181.1
326,24.082222,-110.407778,2024,148.7
326,24.082222,-110.407778,2025,77.4
368,24.102222,-110.418333,2021,143.0
368,24.102222,-110.418333,2022,138.7
368,24.102222,-110.418333,2023,146.7
