ID,Latitude,Longitude,Date,EVI_16d,NDVI_16d
122-R,24.085389,-110.366992,18/02/2000,0.1165,0.1512
122-R,24.085389,-110.366992,05/03/2000,0.0824,0.1226
122-R,24.085389,-110.366992,21/03/2000,0.0924,0.1274
122-R,24.085389,-110.366992,06/04/2000,0.1135,0.1433
122-R,24.085389,-110.366992,22/04/2000,0.0931,0.1235
122-R,24.085389,-110.366992,08/05/2000,0.1367,0.1694
122-R,24.085389,-110.366992,24/05/2000,0.1176,0.1489
122-R,24.085389,-110.366992,09/06/2000,0.1204,0.1407
122-R,24.085389,-110.366992,25/06/2000,0.1348,0.1714
122-R,24.085389,-110.366992,11/07/2000,0.112,0.142
122-R,24.085389,-110.366992,27/07/2000,0.1861,0.2426
122-R,24.085389,-110.366992,12/08/2000,0.1007,0.1415
122-R,24.085389,-110.366992,28/08/2000,0.0966,0.135
122-R,24.085389,-110.366992,13/09/2000,0.1218,0.1786
122-R,24.085389,-110.366992,29/09/2000,0.1042,0.1346
122-R,24.085389,-110.366992,15/10/2000,0.1224,0.1693
122-R,24.085389,-110.366992,31/10/2000,0.1822,0.2227
122-R,24.085389,-110.366992,16/11/2000,0.1401,0.1818
122-R,24.085389,-110.366992,02/12/2000,0.1141,0.1539
122-R,24.085389,-110.366992,18/12/2000,0.1072,0.148
122-R,24.085389,-110.366992,01/01/2001,0.1364,0.178
122-R,24.085389,-110.366992,17/01/2001,0.0911,0.1374
122-R,24.085389,-110.366992,02/02/2001,0.0947,0.1299
122-R,24.085389,-110.366992,18/02/2001,0.1136,0.145
122-R,24.085389,-110.366992,06/03/2001,0.1048,0.1289
122-R,24.085389,-110.366992,22/03/2001,0.0992,0.132
122-R,24.085389,-110.366992,07/04/2001,0.1108,0.1393
122-R,24.085389,-110.366992,23/04/2001,0.1149,0.1578
122-R,24.085389,-110.366992,09/05/2001,0.0851,0.1183
122-R,24.085389,-110.366992,25/05/2001,0.1134,0.1474
122-R,24.085389,-110.366992,10/06/2001,0.0959,0.129
122-R,24.085389,-110.366992,26/06/2001,0.0931,0.1353
122-R,24.085389,-110.366992,12/07/2001,0.0877,0.1166
122-R,24.085389,-110.366992,28/07/2001,0.0835,0.1258
122-R,24.085389,-110.366992,13/08/2001,0.1309,0.1634
122-R,24.085389,-110.366992,29/08/2001,0.1047,0.1361
122-R,24.085389,-110.366992,14/09/2001,0.1193,0.1586
122-R,24.085389,-110.366992,30/09/2001,0.1426,0.1878
