id,clvmun,municipio,clvedo,estado,clvrha,rha,clvacuifer,acuifero,titulo,numapro,uso,grupouso,volsb,clavelocal,nomlocal,gastoma,sciansecto,sciansubra,usuario,corterepda,titular,x_coord,y_coord
799187,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,A1BCS100401/06HMSG94,1,P�blico urbano,Agua Potable,17300000.000000000000000,,,7670.000000000000000,,,,2023,MUNICIPIO LA PAZ (SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA PAZ),0.000,0.000
799192,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"834531",1,M�ltiples,Agropecuario,2000.000000000000000,,,1.500000000000000,,,,2023,"CABO FUELS LAS TORRES, S.A. DE C.V.",-110.378,24.051
799194,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS101596/06IMOC07",1,M�ltiples,Agropecuario,80000.000000000000000,,El Centenario,20.000000000000000,,,,2023,MARGARITA GONZALEZ GARCIA,-110.369,24.042
799209,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,BCS101506,1,M�ltiples,Agropecuario,179400.000000000000000,,,35.000000000000000,,,,2023,JULIA ELENA CANSECO PI�EDA,-110.333,24.085
799211,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,A1BCS100122/06EMGR94,1,Servicios,Industrial Integrado,2500.000000000000000,,La Paz,2.200000000000000,Servicios de esparcimiento,Sin informaci�n,Empresa/Asociaciones Mercantiles,2022,"PARQUES RECREATIVOS S.A.,",-110.306,24.120
799212,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS101463/06EMDL16",1,Servicios,Industrial Integrado,44900.000000000000000,,La Paz,8.000000000000000,Transportes,Sin informaci�n,Otros,2022,AEROPUERTOS Y SERVICIOS AUXILIARES,-110.368,24.072
799219,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS103181/06IPGE98",1,M�ltiples,Agropecuario,700.000000000000000,,La Vinorama,0.088000000000000,Persona f�sica / diferentes usos-multiples,Sin informaci�n,Personas Fisicas,2022,FELIX NAVARRO GERALDO,-110.141,23.939
799237,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS104488/06IPDL09",1,M�ltiples,Agropecuario,660.000000000000000,,El Centenario,0.000000000000000,Persona f�sica / diferentes usos-multiples,Sin informaci�n,Personas Fisicas,2022,RAMON ADELAIDO ANGULO MURILLO,-110.431,24.111
799238,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS105155",1,Agr�cola inscrito,Agropecuario,97000.000000000000000,,,20.000000000000000,,,,2023,ADRIAN BENJAMIN MANRIQUEZ BANCALARI,-110.320,23.817
799245,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS100104/06AMDL17",1,Agr�cola inscrito,Agropecuario,264000.000000000000000,,La Paz,45.000000000000000,,,,2023,"MIGUEL,JORGE,MAXIMA,ESPERANZA Y VIRGINIA DE APELLIDOS GARMA DIAZ",-110.347,24.081
799250,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS104849/06GPDL13",1,Pecuario,Agropecuario,730.000000000000000,,La Trinchera,0.000000000000000,Agricultura,Sin informaci�n,Personas Fisicas,2022,FRANCISCO JAVIER RUIZ COTA,-110.147,23.906
799260,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS102291/06GPGE97",1,Pecuario,Agropecuario,3000.000000000000000,,El Ancon,1.500000000000000,Agricultura,Sin informaci�n,Personas Fisicas,2022,PEDRO AVILES AVILES,-110.138,24.033
799288,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS105624/06GMDL09",1,Pecuario,Agropecuario,3000.000000000000000,,San Pedro,2.000000000000000,Agricultura,Sin informaci�n,Personas Fisicas,2022,MAR�A DOLORES JORD�N ANGULO,-110.319,23.846
799300,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,A1BCS100128/06AMGR94,1,Agr�cola inscrito,Agropecuario,270000.000000000000000,,La Paz,30.000000000000000,Agricultura,Sin informaci�n,Personas Fisicas,2022,C. ARMIDA TALAMANTES AVILES.,-110.351,24.090
799307,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS101012/06FMDL10",1,Industrial,Industrial Integrado,67320.000000000000000,,San Antonio del Zacatal,16.000000000000000,,,,2023,RA�L OLACHEA LUCERO,-110.313,24.090
799310,"003",La Paz,"03",Baja California Sur,I,Pen�nsula de Baja California,"0324",La Paz,"01BCS102253/06GPDL17",1,Pecuario,Agropecuario,1500.000000000000000,,Los Divisaderos,0.000000000000000,,,,2023,MARIA GRACIELA VERDUGO MENDOZA,-110.151,23.906
